no GPIO library found
Info: input file: optical-reader-dec23-21-v3a.7ch, type: 7ch, basename: optical-reader-dec23-21-v3a
Info: FileName: optical-reader-dec23-21-v3a.7ch
Info: block_array contains 46 elements
Warning: suspicious WW block length: count=18432(d), actual block length=895(d)
Warning: 556 Decode overwriting core location 0o2120: was 0o45045, changed to 0o0
Warning: 556 Decode overwriting core location 0o2121: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2122: was 0o71047, changed to 0o0
Warning: 556 Decode overwriting core location 0o2123: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2124: was 0o40000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2125: was 0o74000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2126: was 0o101301, changed to 0o0
Warning: 556 Decode overwriting core location 0o2127: was 0o40022, changed to 0o0
Warning: 556 Decode overwriting core location 0o2130: was 0o76300, changed to 0o0
Warning: 556 Decode overwriting core location 0o2131: was 0o100022, changed to 0o0
Warning: 556 Decode overwriting core location 0o2132: was 0o75045, changed to 0o0
Warning: 556 Decode overwriting core location 0o2133: was 0o51074, changed to 0o0
Warning: 556 Decode overwriting core location 0o2134: was 0o101305, changed to 0o0
Warning: 556 Decode overwriting core location 0o2135: was 0o45060, changed to 0o0
Warning: 556 Decode overwriting core location 0o2136: was 0o45076, changed to 0o0
Warning: 556 Decode overwriting core location 0o2137: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2140: was 0o71065, changed to 0o0
Warning: 556 Decode overwriting core location 0o2141: was 0o114003, changed to 0o0
Warning: 556 Decode overwriting core location 0o2142: was 0o134000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2143: was 0o71075, changed to 0o0
Warning: 556 Decode overwriting core location 0o2144: was 0o131076, changed to 0o0
Warning: 556 Decode overwriting core location 0o2145: was 0o131060, changed to 0o0
Warning: 556 Decode overwriting core location 0o2146: was 0o115304, changed to 0o0
Warning: 556 Decode overwriting core location 0o2147: was 0o71060, changed to 0o0
Warning: 556 Decode overwriting core location 0o2150: was 0o105303, changed to 0o0
Warning: 556 Decode overwriting core location 0o2151: was 0o174012, changed to 0o0
Warning: 556 Decode overwriting core location 0o2152: was 0o40012, changed to 0o0
Warning: 556 Decode overwriting core location 0o2153: was 0o74000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2154: was 0o104000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2155: was 0o40000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2156: was 0o75071, changed to 0o0
Warning: 556 Decode overwriting core location 0o2157: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2160: was 0o40016, changed to 0o0
Warning: 556 Decode overwriting core location 0o2161: was 0o102741, changed to 0o0
Warning: 556 Decode overwriting core location 0o2162: was 0o41330, changed to 0o0
Warning: 556 Decode overwriting core location 0o2163: was 0o106742, changed to 0o0
Warning: 556 Decode overwriting core location 0o2164: was 0o75134, changed to 0o0
Warning: 556 Decode overwriting core location 0o2165: was 0o74045, changed to 0o0
Warning: 556 Decode overwriting core location 0o2166: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2167: was 0o40016, changed to 0o0
Warning: 556 Decode overwriting core location 0o2170: was 0o102713, changed to 0o177776
Warning: 556 Decode overwriting core location 0o2171: was 0o41330, changed to 0o0
Warning: 556 Decode overwriting core location 0o2172: was 0o106714, changed to 0o0
Warning: 556 Decode overwriting core location 0o2173: was 0o75134, changed to 0o0
Warning: 556 Decode overwriting core location 0o2174: was 0o74050, changed to 0o0
Warning: 556 Decode overwriting core location 0o2175: was 0o102442, changed to 0o0
Warning: 556 Decode overwriting core location 0o2176: was 0o40016, changed to 0o0
Warning: 556 Decode overwriting core location 0o2177: was 0o102743, changed to 0o177777
Warning: 556 Decode overwriting core location 0o2200: was 0o41330, changed to 0o177777
Warning: 556 Decode overwriting core location 0o2201: was 0o106744, changed to 0o177777
Warning: 556 Decode overwriting core location 0o2202: was 0o75134, changed to 0o177777
Warning: 556 Decode overwriting core location 0o2203: was 0o74054, changed to 0o177777
Warning: 556 Decode overwriting core location 0o2204: was 0o102442, changed to 0o177777
Warning: 556 Decode overwriting core location 0o2205: was 0o40016, changed to 0o177777
Warning: 556 Decode overwriting core location 0o2206: was 0o102715, changed to 0o0
Warning: 556 Decode overwriting core location 0o2207: was 0o41330, changed to 0o1000
Warning: 556 Decode overwriting core location 0o2210: was 0o106716, changed to 0o1000
Warning: 556 Decode overwriting core location 0o2211: was 0o75134, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2212: was 0o74057, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2213: was 0o51176, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2214: was 0o40003, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2215: was 0o171004, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2216: was 0o71175, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2217: was 0o101330, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2220: was 0o171023, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2221: was 0o110016, changed to 0o0
Warning: 556 Decode overwriting core location 0o2222: was 0o40016, changed to 0o0
Warning: 556 Decode overwriting core location 0o2223: was 0o112422, changed to 0o0
Warning: 556 Decode overwriting core location 0o2224: was 0o45150, changed to 0o0
Warning: 556 Decode overwriting core location 0o2225: was 0o44354, changed to 0o2
Warning: 556 Decode overwriting core location 0o2226: was 0o44507, changed to 0o0
Warning: 556 Decode overwriting core location 0o2227: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2230: was 0o40022, changed to 0o3
Warning: 556 Decode overwriting core location 0o2231: was 0o176476, changed to 0o0
Warning: 556 Decode overwriting core location 0o2232: was 0o41331, changed to 0o0
Warning: 556 Decode overwriting core location 0o2233: was 0o101330, changed to 0o0
Warning: 556 Decode overwriting core location 0o2234: was 0o174732, changed to 0o0
Warning: 556 Decode overwriting core location 0o2235: was 0o171006, changed to 0o0
Warning: 556 Decode overwriting core location 0o2236: was 0o41332, changed to 0o0
Warning: 556 Decode overwriting core location 0o2237: was 0o100003, changed to 0o0
Warning: 556 Decode overwriting core location 0o2240: was 0o171005, changed to 0o52341
Warning: 556 Decode overwriting core location 0o2241: was 0o70460, changed to 0o100016
Warning: 556 Decode overwriting core location 0o2242: was 0o101330, changed to 0o112447
Warning: 556 Decode overwriting core location 0o2243: was 0o171023, changed to 0o42277
Warning: 556 Decode overwriting core location 0o2244: was 0o64000, changed to 0o116450
Warning: 556 Decode overwriting core location 0o2245: was 0o171006, changed to 0o72342
Warning: 556 Decode overwriting core location 0o2246: was 0o40003, changed to 0o102475
Warning: 556 Decode overwriting core location 0o2247: was 0o112421, changed to 0o42275
Warning: 556 Decode overwriting core location 0o2250: was 0o45173, changed to 0o102451
Warning: 556 Decode overwriting core location 0o2251: was 0o44356, changed to 0o42354
Warning: 556 Decode overwriting core location 0o2252: was 0o100000, changed to 0o100022
Warning: 556 Decode overwriting core location 0o2253: was 0o40012, changed to 0o176476
Warning: 556 Decode overwriting core location 0o2254: was 0o71177, changed to 0o161007
Warning: 556 Decode overwriting core location 0o2255: was 0o74000, changed to 0o116477
Warning: 556 Decode overwriting core location 0o2256: was 0o101332, changed to 0o72346
